Collections,Sales,Buyers,Txns,Owners
Robotos Official,"4,95,47,645","11,993","24,923","5,637"
The Shiboshis,"4,94,91,290","4,052","10,653","3,678"
Galaxy Eggs,"4,94,36,365","8,413","19,086","4,527"
ZombieClub Token,"4,88,57,891","7,212","10,983","3,262"
Autoglyphs,"4,86,97,026",198,367,166
Boss Beauties,"4,85,36,933","10,846","22,342","5,573"
Treeverse,"4,85,00,834","5,878","13,224","3,489"
Crypto Unicorns,"4,81,18,931","8,401","96,408","5,753"
My Pet Hooligan,"4,80,68,483","9,520","18,303","4,612"
Akutars,"4,76,62,219","3,337","7,047","5,361"
Chain Runners,"4,71,57,598","5,223","12,233","3,370"
PUNKS Comic,"4,70,22,789","4,165","8,443","3,872"
Panini America,"4,64,44,604","14,746","10,32,037","13,164"
MurakamiFlowers,"4,61,99,123","2,882","4,532","5,784"
Desperate ApeWives,"4,60,76,701","5,937","14,952","4,219"
Sevens Token,"4,44,48,956","6,463","13,071","3,192"
ApeKidsClub,"4,37,86,752","10,144","22,616","4,902"
The Humanoids,"4,36,68,262","10,339","23,423","4,727"
Quirkies,"4,29,82,059","6,941","17,025","2,178"
Forgotten Runes,"4,28,91,088","4,874","14,765","3,096"
The Sevens,"4,28,27,906","6,401","12,555","3,193"
C-01 Official Collection,"4,24,32,523","7,189","13,777","4,469"
Koala Intelligence Agency,"4,23,50,975","9,087","19,639","4,940"
Cryptovoxels,"4,18,44,916","3,223","11,970","2,427"
OxyaOriginProject,"4,18,18,521","6,351","14,301","2,729"
Alien Worlds,"4,13,91,160","4,89,108","57,10,821","38,43,236"
MOAR by Joan Cornella,"4,09,61,208","5,478","9,603","2,951"
Inbetweeners,"4,07,58,957","7,392","14,539","5,549"
Pixel Vault Founders DAO,"4,05,55,022","2,563","3,733","3,089"
n,"4,02,92,702","5,118","12,968","2,985"
10KTF,"4,01,60,647","11,979","44,683","5,715"
Degen Toonz,"3,99,45,649","9,901","24,705","4,017"
Peaceful Groupies,"3,95,83,498","9,138","21,352","3,867"
CryptoDickbutts S3,"3,91,39,846","4,117","17,655","1,707"
Jungle Freaks,"3,86,29,477","7,680","13,364","5,593"
the littles NFT,"3,83,71,991","9,738","19,799","5,304"
Smilesss,"3,78,46,922","9,584","18,482","4,411"
Rug Radio - Genesis NFT,"3,77,92,408","18,578","32,553","9,061"
The CryptoDads,"3,77,88,168","8,418","16,928","6,710"
TheHeartProject,"3,76,63,743","11,617","23,985","5,730"
OnChainMonkey,"3,67,88,840","6,329","18,588","3,001"
Blitmap,"3,67,41,775",486,"1,073",645
SolPunks,"3,64,34,296","8,325","18,623","4,782"
Farming Tales,"3,64,10,831","10,304","1,85,038","10,113"
Decentral Ice Poker,"3,59,35,111","2,838","9,347","2,683"
GEN.ART,"3,58,38,377","4,696","8,626","2,447"
GENART,"3,56,39,553","4,331","7,897","2,441"
Bored Bunny,"3,54,26,791","8,187","12,678","3,679"
Metasaurs by Dr. DMT,"3,45,96,881","7,801","16,640","4,837"
Sappy Seals,"3,44,62,849","11,505","35,001","3,942"
Portals,"3,43,32,685","5,051","9,909","2,881"
Bloot,"3,42,29,478","6,551","15,454","3,848"
Akuma,"3,38,42,679","5,709","14,306","1,840"
Tasty Bones,"3,28,06,300","5,987","9,783","3,278"
Animetas,"3,26,56,608","7,167","19,680","3,970"
More Than Gamers,"3,25,02,457","15,183","26,119","4,722"
Thug Birdz,"3,20,57,660","4,023","7,803","2,156"
ALPACADABRAZ,"3,15,55,372","7,844","15,962","4,436"
WonderPals,"3,13,01,039","15,833","23,980","6,425"
Tom Sachs Rocket Factory,"3,12,66,138",837,"2,869",138
MoodRollers,"3,07,62,715","8,045","15,280","2,971"
EveraiDuo,"3,07,54,089","9,933","21,668","2,868"
Edenhorde,"3,06,24,730","4,708","14,067","2,425"
Moonbirds Oddities,"3,03,69,012","4,316","8,299","6,093"
Nifty League DEGENs,"3,01,78,482","8,736","24,952","3,203"
The Art of Seasons,"3,00,79,025","10,437","24,029","3,244"
VOX Series 2,"3,00,52,401","1,376","2,862","3,325"
Creepz Shapeshifters,"2,99,93,384","2,961","12,240","2,943"
CryptoJanky,"2,99,41,263","9,411","17,969","5,767"
Party Ape Billionaire Club,"2,98,40,712","6,492","13,953","4,464"
SlimHoods,"2,96,81,821","8,443","15,124","2,951"
Gutter Juice,"2,96,21,029","9,758","33,033","8,500"
Winter Bears,"2,94,30,776","10,445","22,901","4,617"
Janky Heist,"2,93,04,038","9,322","17,348","5,763"
Dour Darcels,"2,92,36,811","9,640","22,487","4,674"
Shinsekai,"2,91,92,403","9,271","21,738","4,413"
Antonym,"2,84,29,219","10,967","19,814","4,160"
EightBit,"2,81,72,956","7,601","19,820","3,121"
Meerkat Millionaires Country Club,"2,75,51,579","8,527","17,531","4,373"
Slotie,"2,75,27,639","5,419","12,995","3,953"
BAPETAVERSE,"2,70,44,028","4,429","10,263","4,454"
Galaxy Fight Club,"2,68,12,081","5,182","18,437","2,969"
VaynerSports Pass,"2,66,62,065","8,816","19,389","5,543"
X Rabbits Club,"2,59,79,658","4,137","9,406","3,068"
LinksDAO,"2,55,74,038","8,943","13,318","5,340"
Cets on Crek,"2,53,57,983","7,813","14,842","4,005"
Reptile Armoury,"2,53,07,434","3,789","15,061","2,552"
Metamon,"2,47,55,212","7,997","86,223","10,578"
BugBears,"2,46,48,255","9,681","26,439","6,842"
CatBloxGenesis,"2,45,90,910","9,248","20,776","4,671"
Bold Badgers,"2,45,63,342","6,585","19,494","4,032"
Waves Ducks,"2,44,84,127","1,697","19,473","1,774"
Cool Monkes,"2,44,67,814","7,621","18,367","3,536"
Purrnelopes Country Club,"2,43,55,983","2,643","9,492","3,634"
The Other Side,"2,43,06,848","13,074","20,069","4,932"
Chimpers,"2,41,94,101","4,339","6,683","2,491"
The Currency Palm,"2,39,98,301",566,"1,354","2,020"
MetaLegends,"2,38,82,291","7,423","15,184","4,703"
The Wicked Craniums,"2,38,67,554","8,354","23,322","4,762"
We Are All Going to Die,"2,34,55,817","7,158","19,980","2,268"
The Doggies,"2,34,01,849","16,311","22,860","7,431"
Milady,"2,33,70,031","5,953","14,165","3,323"
hic et nunc,"2,32,27,803","52,156","15,35,692","20,051"
Frakt,"2,30,97,574","4,927","13,755","1,479"
Catalina Whale Mixer,"2,30,95,336","5,500","12,604","2,106"
Akutar Mint Pass,"2,30,84,214","2,773","5,013","3,967"
Dippies,"2,30,81,111","11,802","22,474","5,756"
Acrocalypse,"2,30,47,945","8,118","19,211","3,457"
Cupcats Official,"2,30,30,547","3,593","9,602","1,778"
Voxies,"2,28,94,077","2,213","7,858","2,076"
Nouns,"2,26,09,886",81,112,272
FoxFam,"2,25,78,802","7,414","17,867","3,527"
The Vogu Collective,"2,25,40,528","4,752","12,129","2,808"
Llamaverse Genesis,"2,25,01,103","4,515","6,018","3,082"
Solsteads,"2,24,44,036","3,019","5,479","1,420"
Habbo Avatars,"2,24,14,956","6,271","14,904","4,393"
FOMO MOFOS,"2,20,48,372","6,828","13,957","4,156"
Stoner Cats,"2,19,92,786","5,931","10,790","5,103"
CryptoonGoonz,"2,19,63,443","7,119","13,167","3,843"
Deafbeef,"2,18,61,127",106,156,114
Illuminati,"2,18,60,214","7,799","15,784","3,764"
Bastard Gan Punks V2,"2,18,46,761","3,763","12,212","2,894"
Fishy Fam,"2,17,44,180","10,138","19,337","5,354"
Potatoz,"2,14,67,745","6,253","13,581","5,108"
Mindblowon,"2,12,55,015","11,313","16,333","3,973"
Sipherian Surge,"2,10,53,426","6,210","15,023","3,636"
Wool Pouch,"2,09,11,179","2,249","6,139","3,270"
Los Muertos,"2,09,01,871","11,143","25,406","4,328"
